0,0,71,1758
0,1,71,1751
1,0,71,1752
1,1,71,1753
3,0,71,1756
3,1,71,1757
0,0,72,2828
0,1,72,2821
2,0,72,2824
2,1,72,2825
3,0,72,2826
3,1,72,2827
0,0,73,2838
0,1,73,2831
2,0,73,2834
2,1,73,2835
3,0,73,2836
3,1,73,2837
0,0,74,2848
0,1,74,2841
1,0,74,2842
1,1,74,2843
3,0,74,2846
3,1,74,2847
0,0,75,2858
0,1,75,2851
1,0,75,2852
1,1,75,2853
3,0,75,2856
3,1,75,2857
0,0,76,2868
0,1,76,2861
1,0,76,2862
1,1,76,2863
2,0,76,2864
2,1,76,2865
0,0,77,2878
0,1,77,2871
1,0,77,2872
1,1,77,2873
2,0,77,2874
2,1,77,2875
0,0,78,2128
0,1,78,2121
2,0,78,2124
2,1,78,2125
3,0,78,2126
3,1,78,2127
0,0,79,2138
0,1,79,2131
2,0,79,2134
2,1,79,2135
3,0,79,2136
3,1,79,2137
0,0,80,2148
0,1,80,2141
1,0,80,2142
1,1,80,2143
3,0,80,2146
3,1,80,2147
0,0,81,2158
0,1,81,2151
1,0,81,2152
1,1,81,2153
3,0,81,2156
3,1,81,2157
0,0,82,2168
0,1,82,2161
1,0,82,2162
1,1,82,2163
2,0,82,2164
2,1,82,2165
0,0,83,2178
0,1,83,2171
1,0,83,2172
1,1,83,2173
2,0,83,2174
2,1,83,2175
1,0,84,2482
1,1,84,2483
2,0,84,2484
2,1,84,2485
3,0,84,2486
3,1,84,2487
1,0,85,2412
1,1,85,2413
2,0,85,2414
2,1,85,2415
3,0,85,2416
3,1,85,2417
0,0,86,2428
0,1,86,2421
2,0,86,2424
2,1,86,2425
3,0,86,2426
3,1,86,2427
0,0,87,2438
0,1,87,2431
2,0,87,2434
2,1,87,2435
3,0,87,2436
3,1,87,2437
0,0,88,2468
0,1,88,2461
1,0,88,2462
1,1,88,2463
2,0,88,2464
2,1,88,2465
0,0,89,2478
0,1,89,2471
1,0,89,2472
1,1,89,2473
2,0,89,2474
2,1,89,2475
1,0,90,2582
1,1,90,2583
2,0,90,2584
2,1,90,2585
3,0,90,2586
3,1,90,2587
1,0,91,2512
1,1,91,2513
2,0,91,2514
2,1,91,2515
3,0,91,2516
3,1,91,2517
0,0,92,2528
0,1,92,2521
2,0,92,2524
2,1,92,2525
3,0,92,2526
3,1,92,2527
0,0,93,2538
0,1,93,2531
2,0,93,2534
2,1,93,2535
3,0,93,2536
3,1,93,2537
0,0,94,2568
0,1,94,2561
1,0,94,2562
1,1,94,2563
2,0,94,2564
2,1,94,2565
0,0,95,2578
0,1,95,2571
1,0,95,2572
1,1,95,2573
2,0,95,2574
2,1,95,2575
1,0,96,2682
1,1,96,2683
2,0,96,2684
2,1,96,2685
3,0,96,2686
3,1,96,2687
1,0,97,2612
1,1,97,2613
2,0,97,2614
2,1,97,2615
3,0,97,2616
3,1,97,2617
0,0,98,2628
0,1,98,2621
2,0,98,2624
2,1,98,2625
3,0,98,2626
3,1,98,2627
0,0,99,2638
0,1,99,2631
2,0,99,2634
2,1,99,2635
3,0,99,2636
3,1,99,2637
0,0,100,2648
0,1,100,2641
1,0,100,2642
1,1,100,2643
3,0,100,2646
3,1,100,2647
0,0,101,2658
0,1,101,2651
1,0,101,2652
1,1,101,2653
3,0,101,2656
3,1,101,2657
1,0,102,2782
1,1,102,2783
2,0,102,2784
2,1,102,2785
3,0,102,2786
3,1,102,2787
1,0,103,2712
1,1,103,2713
2,0,103,2714
2,1,103,2715
3,0,103,2716
3,1,103,2717
0,0,104,2728
0,1,104,2721
2,0,104,2724
2,1,104,2725
3,0,104,2726
3,1,104,2727
0,0,105,2738
0,1,105,2731
2,0,105,2734
2,1,105,2735
3,0,105,2736
3,1,105,2737
0,0,106,2748
0,1,106,2741
1,0,106,2742
1,1,106,2743
3,0,106,2746
3,1,106,2747
0,0,107,2758
0,1,107,2751
1,0,107,2752
1,1,107,2753
3,0,107,2756
3,1,107,2757
0,0,108,3828
0,1,108,3821
2,0,108,3824
2,1,108,3825
3,0,108,3826
3,1,108,3827
0,0,109,3838
0,1,109,3831
2,0,109,3834
2,1,109,3835
3,0,109,3836
3,1,109,3837
0,0,110,3848
0,1,110,3841
1,0,110,3842
1,1,110,3843
3,0,110,3846
3,1,110,3847
0,0,111,3858
0,1,111,3851
1,0,111,3852
1,1,111,3853
3,0,111,3856
3,1,111,3857
0,0,112,3868
0,1,112,3861
1,0,112,3862
1,1,112,3863
